epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154437,2.58543,6.25321,0.00959,0,0,0,0,1.65128,10.608,0.00688,7.75e-05,7.75e-05,7.75e-05
2,154636,2.48582,6.00402,0.00819,0,0,0,0,1.61718,10.5521,0.00687,0.000155941,0.000155941,0.000155941
3,154814,2.39564,5.83769,0.00778,0,0,0,0,1.60518,10.3474,0.00662,0.000232798,0.000232798,0.000232798
4,154984,2.34877,5.46503,0.00729,0.06003,0.03967,0.01625,0.00583,1.60624,9.90437,0.0067,0.000242575,0.000242575,0.000242575
5,155163,2.32064,5.15012,0.00736,0.01712,0.11553,0.02412,0.00906,1.64509,9.40294,0.0067,0.0002401,0.0002401,0.0002401
6,155334,2.33055,4.8658,0.00725,0.01869,0.16348,0.03553,0.01469,1.62876,9.26776,0.00659,0.000237625,0.000237625,0.000237625
7,155500,2.28291,4.81009,0.00701,0.82814,0.03906,0.0404,0.01703,1.62495,9.07939,0.00671,0.00023515,0.00023515,0.00023515
8,155662,2.28002,4.47754,0.00679,0.81827,0.03723,0.0449,0.01907,1.65312,8.81651,0.00705,0.000232675,0.000232675,0.000232675
9,155823,2.29336,4.45381,0.00689,0.79192,0.05176,0.04824,0.01989,1.64441,8.658,0.00692,0.0002302,0.0002302,0.0002302
10,155988,2.35731,4.20596,0.00666,0.75627,0.05974,0.05289,0.02177,1.65724,8.4993,0.00705,0.000227725,0.000227725,0.000227725
11,156153,2.28486,4.14964,0.0069,0.7175,0.06603,0.06276,0.02409,1.69635,8.64606,0.00725,0.00022525,0.00022525,0.00022525
12,156316,2.27861,4.0411,0.00677,0.76757,0.06598,0.06723,0.02659,1.66185,8.4873,0.00714,0.000222775,0.000222775,0.000222775
13,156480,2.29911,3.83122,0.00645,0.76997,0.06807,0.10349,0.04695,1.60089,8.29352,0.00692,0.0002203,0.0002203,0.0002203
14,156640,2.2936,4.00156,0.00661,0.72457,0.07298,0.10611,0.04803,1.59631,8.17341,0.00674,0.000217825,0.000217825,0.000217825
15,156800,2.24496,3.92451,0.0071,0.73216,0.07277,0.08356,0.03564,1.6233,8.0586,0.00682,0.00021535,0.00021535,0.00021535
