epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.453,2.52152,6.07642,0.00972,0,0,0,0,2.05502,6.10245,0.0088,8.866e-05,8.866e-05,8.866e-05
2,305.462,2.44442,5.91143,0.00842,0,0,0,0,2.0089,6.01185,0.0084,0.000179823,0.000179823,0.000179823
3,466.748,2.35061,5.77665,0.00791,0.00926,0.0006,0.00014,6e-05,1.97389,5.64332,0.00831,0.000270624,0.000270624,0.000270624
4,640.773,2.37829,5.37296,0.00781,0.01487,0.07359,0.02289,0.0093,2.02416,4.95635,0.00854,0.000284301,0.000284301,0.000284301
5,825.968,2.30944,5.07574,0.00803,0.87346,0.04092,0.03005,0.01203,2.03084,4.65215,0.00893,0.000283735,0.000283735,0.000283735
6,973.046,2.34307,4.73038,0.00732,0.82207,0.05123,0.04003,0.01832,2.05601,4.48951,0.00901,0.000283169,0.000283169,0.000283169
7,1141.33,2.43249,4.6254,0.00737,0.81358,0.04376,0.04567,0.02095,2.01397,4.19567,0.00861,0.000282602,0.000282602,0.000282602
8,1314.61,2.3438,4.30525,0.00687,0.8498,0.06103,0.07029,0.03585,2.00403,3.98526,0.00861,0.000282036,0.000282036,0.000282036
9,1458.85,2.30963,4.22835,0.0069,0.89261,0.04649,0.09069,0.0481,2.04866,3.78502,0.00866,0.00028147,0.00028147,0.00028147
10,1614.38,2.26945,4.18713,0.00683,0.72736,0.09146,0.09693,0.05067,2.04787,3.70132,0.00865,0.000280903,0.000280903,0.000280903
11,1774.78,2.25477,4.24845,0.00709,0.81257,0.10034,0.0953,0.04556,2.05418,3.6121,0.00885,0.000280337,0.000280337,0.000280337
12,1938.56,2.28828,3.97444,0.0066,0.6659,0.09003,0.11868,0.06256,2.04158,3.56821,0.00902,0.000279771,0.000279771,0.000279771
13,2123.43,2.22748,4.00356,0.00732,0.67752,0.08247,0.13254,0.06639,1.99689,3.54507,0.00869,0.000279205,0.000279205,0.000279205
14,2293.48,2.27251,3.85306,0.00703,0.66545,0.13209,0.13548,0.06935,1.98961,3.50196,0.00852,0.000278638,0.000278638,0.000278638
15,2461,2.24192,4.05212,0.00695,0.65515,0.12814,0.12703,0.05436,1.98909,3.41795,0.00843,0.000278072,0.000278072,0.000278072
16,2626.62,2.2033,3.73457,0.00698,0.6073,0.13524,0.1314,0.05239,2.02053,3.39473,0.00867,0.000277506,0.000277506,0.000277506
17,2786.87,2.19595,3.63966,0.00678,0.65173,0.09257,0.12617,0.05537,1.95404,3.34512,0.00845,0.00027694,0.00027694,0.00027694
18,2938.82,2.26618,3.62644,0.00667,0.5739,0.12296,0.1327,0.05687,1.97609,3.35816,0.00849,0.000276373,0.000276373,0.000276373
19,3089.97,2.17767,3.57432,0.00657,0.6395,0.14922,0.13759,0.06282,1.97329,3.25304,0.00847,0.000275807,0.000275807,0.000275807
20,3238.38,2.11025,3.49895,0.00654,0.62338,0.13617,0.14383,0.06913,1.93675,3.21675,0.00825,0.000275241,0.000275241,0.000275241
21,3404.09,2.19815,3.4557,0.00691,0.60976,0.12629,0.14955,0.07348,1.92294,3.21015,0.00814,0.000274674,0.000274674,0.000274674
22,3557.2,2.19522,3.64235,0.00632,0.60076,0.12885,0.1718,0.08799,1.95072,3.1594,0.00832,0.000274108,0.000274108,0.000274108
23,18557.6,2.1696,3.34842,0.00673,0.55227,0.13541,0.15722,0.07377,1.98634,3.22082,0.00823,0.000273542,0.000273542,0.000273542
24,18747.3,2.24459,3.40206,0.00656,0.58383,0.14355,0.18104,0.08195,1.96989,3.18556,0.00814,0.000272976,0.000272976,0.000272976
25,18917.3,2.18299,3.46895,0.00665,0.54007,0.12886,0.15935,0.07378,1.95862,3.1206,0.00825,0.000272409,0.000272409,0.000272409
26,19081.8,2.15641,3.34218,0.0066,0.40241,0.15593,0.15546,0.07525,1.92307,3.07744,0.00806,0.000271843,0.000271843,0.000271843
27,19249.7,2.15072,3.34537,0.00727,0.42052,0.15854,0.16676,0.07291,1.96492,3.07754,0.00858,0.000271277,0.000271277,0.000271277
28,19411.9,2.13679,3.22003,0.00641,0.41236,0.15062,0.18358,0.08734,1.91212,2.98239,0.00825,0.00027071,0.00027071,0.00027071
29,19578.1,2.19669,3.19801,0.00624,0.44769,0.15166,0.19854,0.09832,1.9345,2.97672,0.00828,0.000270144,0.000270144,0.000270144
30,19748.2,2.20477,3.2317,0.00665,0.44775,0.14069,0.1877,0.08662,1.93155,3.01212,0.00838,0.000269578,0.000269578,0.000269578
31,19915.1,2.14965,3.1314,0.00616,0.40868,0.14273,0.17926,0.08502,1.903,2.94812,0.0082,0.000269012,0.000269012,0.000269012
32,20083.7,2.17332,3.2211,0.00643,0.39391,0.15099,0.19824,0.09849,1.88329,2.92777,0.00823,0.000268445,0.000268445,0.000268445
33,20253.1,2.15993,3.27951,0.00631,0.37117,0.16075,0.20238,0.10133,1.86418,2.88136,0.00812,0.000267879,0.000267879,0.000267879
34,20415,2.07075,3.26843,0.00618,0.34901,0.16271,0.19586,0.09588,1.90385,2.93801,0.00813,0.000267313,0.000267313,0.000267313
35,20581.6,2.06147,3.02921,0.00634,0.38204,0.17199,0.20262,0.10701,1.89909,2.88738,0.00815,0.000266746,0.000266746,0.000266746
36,20747.9,2.13342,3.08787,0.00621,0.30703,0.18945,0.19665,0.10194,1.88067,2.90796,0.00808,0.00026618,0.00026618,0.00026618
37,20915.6,2.17445,3.16342,0.00708,0.37707,0.19832,0.20047,0.09923,1.8958,2.94051,0.00828,0.000265614,0.000265614,0.000265614
38,21083.5,2.12415,3.0216,0.00626,0.3885,0.19482,0.21213,0.11579,1.83394,2.80351,0.00758,0.000265048,0.000265048,0.000265048
39,21252.4,2.16595,3.00088,0.00649,0.31006,0.18913,0.18675,0.09395,1.88537,2.82362,0.00796,0.000264481,0.000264481,0.000264481
40,21418.8,2.14675,3.14356,0.00683,0.33254,0.19759,0.20599,0.10116,1.87561,2.82298,0.00809,0.000263915,0.000263915,0.000263915
41,21586.9,2.14803,2.95846,0.00607,0.3272,0.22002,0.21658,0.10614,1.88453,2.85234,0.00806,0.000263349,0.000263349,0.000263349
42,21752.4,2.12343,2.89638,0.00648,0.32695,0.21425,0.22564,0.11461,1.85393,2.75058,0.00809,0.000262783,0.000262783,0.000262783
43,21915.6,2.08319,2.85236,0.00633,0.41511,0.23269,0.24165,0.11415,1.8734,2.73338,0.0082,0.000262216,0.000262216,0.000262216
44,22076.4,2.15957,2.82536,0.00622,0.42882,0.23452,0.2371,0.10629,1.89811,2.75172,0.00814,0.00026165,0.00026165,0.00026165
45,22271,2.10187,2.85497,0.00623,0.38695,0.25385,0.23122,0.10792,1.85091,2.73658,0.00796,0.000261084,0.000261084,0.000261084
