epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.064,2.57724,6.19057,0.00961,0,0,0,0,1.63753,10.5611,0.00697,8.866e-05,8.866e-05,8.866e-05
2,217.319,2.44927,5.99011,0.00808,0,0,0,0,1.63576,10.4761,0.00677,0.000179823,0.000179823,0.000179823
3,327.081,2.39874,5.71285,0.00778,0.01136,0.00149,0.00111,0.00065,1.61393,10.212,0.00677,0.000270624,0.000270624,0.000270624
4,445.745,2.34805,5.37204,0.00755,0.02708,0.18466,0.02993,0.01502,1.61651,9.65098,0.0068,0.000284301,0.000284301,0.000284301
5,552.294,2.32715,5.02744,0.00755,0.82971,0.03896,0.03064,0.01318,1.67687,9.33695,0.00732,0.000283735,0.000283735,0.000283735
6,659.837,2.2651,4.81505,0.00784,0.78102,0.05994,0.04386,0.01894,1.65781,9.46555,0.00725,0.000283169,0.000283169,0.000283169
7,768.847,2.31425,4.60329,0.00751,0.8471,0.05523,0.04849,0.02041,1.7043,9.13181,0.00763,0.000282602,0.000282602,0.000282602
8,886.097,2.36781,4.40623,0.00776,0.88587,0.05021,0.06237,0.0298,1.709,8.81476,0.00755,0.000282036,0.000282036,0.000282036
9,997.112,2.31915,4.19968,0.00709,0.80067,0.06427,0.07029,0.03316,1.67679,8.96557,0.00739,0.00028147,0.00028147,0.00028147
10,1125.81,2.2938,4.00772,0.00648,0.72548,0.07839,0.07833,0.03705,1.64699,9.34203,0.00717,0.000280903,0.000280903,0.000280903
11,1253.81,2.35596,3.90375,0.00687,0.69723,0.08693,0.08788,0.04106,1.6598,9.28486,0.00708,0.000280337,0.000280337,0.000280337
12,1381.2,2.38457,4.07997,0.00736,0.72394,0.07152,0.09386,0.04182,1.66331,8.83549,0.0073,0.000279771,0.000279771,0.000279771
13,1489.73,2.28527,4.00026,0.00754,0.70853,0.09498,0.11105,0.05024,1.64693,8.44452,0.00738,0.000279205,0.000279205,0.000279205
14,1596.27,2.27422,3.72827,0.00681,0.67747,0.09655,0.12128,0.05884,1.6215,8.39139,0.00714,0.000278638,0.000278638,0.000278638
15,1701.69,2.30743,3.65506,0.00691,0.66369,0.13835,0.11688,0.05385,1.61581,8.25718,0.00712,0.000278072,0.000278072,0.000278072
16,1806.92,2.24879,3.69244,0.00727,0.71735,0.11431,0.14162,0.06184,1.60289,8.14171,0.00687,0.000277506,0.000277506,0.000277506
17,1927.44,2.2339,3.66755,0.00725,0.66162,0.13375,0.15064,0.0637,1.61815,7.81907,0.00692,0.00027694,0.00027694,0.00027694
18,2042.28,2.26491,3.7425,0.00721,0.57984,0.15862,0.15041,0.0695,1.61672,7.69807,0.00693,0.000276373,0.000276373,0.000276373
