epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,82845.3,2.14435,2.97636,0.00633,0.46749,0.15818,0.19094,0.09412,1.54701,6.304,0.00668,0.000169913,0.000169913,0.000169913
43,83009.8,2.13379,3.02965,0.0064,0.45286,0.1757,0.18441,0.09012,1.51818,6.22039,0.00651,0.000167081,0.000167081,0.000167081
44,83178.2,2.1412,2.9585,0.00609,0.41701,0.18124,0.19547,0.09453,1.51252,6.24789,0.00648,0.00016425,0.00016425,0.00016425
45,83347.4,2.10841,2.86235,0.00617,0.46173,0.17285,0.22033,0.10736,1.50432,6.17946,0.00646,0.000161418,0.000161418,0.000161418
46,83512.9,2.13809,3.02816,0.00629,0.49669,0.14901,0.21961,0.0981,1.51271,6.07962,0.00647,0.000158587,0.000158587,0.000158587
47,83682.6,2.12284,2.85076,0.00625,0.39624,0.1615,0.18677,0.09364,1.53021,5.94826,0.00645,0.000155756,0.000155756,0.000155756
48,83850.7,2.07674,2.93097,0.00576,0.39027,0.17093,0.19203,0.09802,1.49198,5.84559,0.0063,0.000152924,0.000152924,0.000152924
49,84025.4,2.14625,2.88928,0.00608,0.42669,0.17335,0.1924,0.09691,1.53379,5.79093,0.00636,0.000150093,0.000150093,0.000150093
50,84193.4,2.12131,2.86768,0.00602,0.46233,0.15949,0.19775,0.09632,1.57813,5.79476,0.00656,0.000147261,0.000147261,0.000147261
51,84362.5,2.09304,2.88158,0.00612,0.45014,0.16765,0.19876,0.10099,1.5433,5.76968,0.00642,0.00014443,0.00014443,0.00014443
52,84534.6,2.1187,2.87985,0.00614,0.48816,0.15253,0.19854,0.10133,1.52356,5.76255,0.00654,0.000141599,0.000141599,0.000141599
53,84704.8,2.08868,2.8545,0.00595,0.4573,0.15495,0.19632,0.09995,1.52233,5.69795,0.00647,0.000138767,0.000138767,0.000138767
54,84875.3,2.12393,2.82042,0.00618,0.40428,0.19335,0.19655,0.09979,1.52969,5.70777,0.00651,0.000135936,0.000135936,0.000135936
55,85039.7,2.0884,2.77298,0.00637,0.431,0.17216,0.20399,0.1038,1.51709,5.71491,0.0066,0.000133104,0.000133104,0.000133104
56,85199.8,2.06188,2.82828,0.00621,0.42614,0.17838,0.20729,0.10533,1.52619,5.67301,0.00661,0.000130273,0.000130273,0.000130273
57,85373.8,2.05292,2.80843,0.00599,0.42369,0.21589,0.21335,0.10882,1.5166,5.55857,0.0065,0.000127442,0.000127442,0.000127442
58,85538.5,2.06666,2.78983,0.00617,0.42263,0.24164,0.21695,0.11033,1.497,5.56546,0.00635,0.00012461,0.00012461,0.00012461
59,85695.4,2.06512,2.82802,0.00588,0.44453,0.22414,0.22718,0.10909,1.5119,5.54498,0.00651,0.000121779,0.000121779,0.000121779
60,85852.8,2.08299,2.7448,0.00648,0.44443,0.21965,0.22803,0.10884,1.52879,5.55241,0.00655,0.000118947,0.000118947,0.000118947
61,86014.2,2.07655,2.79928,0.00611,0.45526,0.21707,0.22772,0.10606,1.53747,5.50096,0.00661,0.000116116,0.000116116,0.000116116
62,86175.5,2.09776,2.7373,0.0061,0.4359,0.2275,0.22154,0.10671,1.54376,5.47644,0.00656,0.000113285,0.000113285,0.000113285
63,86335.3,2.08966,2.81024,0.0061,0.43835,0.23112,0.21341,0.10525,1.54481,5.55241,0.00656,0.000110453,0.000110453,0.000110453
64,86497.7,2.06356,2.69035,0.00593,0.43851,0.22722,0.21204,0.10338,1.54041,5.55795,0.00653,0.000107622,0.000107622,0.000107622
65,86658.4,2.07962,2.70731,0.00595,0.43595,0.23394,0.21817,0.11061,1.50264,5.5978,0.00639,0.00010479,0.00010479,0.00010479
66,86843.7,2.13181,2.67394,0.00594,0.48282,0.16929,0.21582,0.11028,1.47667,5.62731,0.00617,0.000101959,0.000101959,0.000101959
67,87028,2.07331,2.71465,0.00578,0.43412,0.19253,0.21883,0.11071,1.49512,5.56981,0.00631,9.91276e-05,9.91276e-05,9.91276e-05
68,87188.2,2.11361,2.80984,0.00609,0.44019,0.24082,0.21951,0.10912,1.5066,5.62941,0.0064,9.62962e-05,9.62962e-05,9.62962e-05
69,87347,2.09342,2.61679,0.00557,0.43959,0.23531,0.22438,0.10964,1.49485,5.54192,0.00642,9.34648e-05,9.34648e-05,9.34648e-05
70,87510.9,2.07412,2.6847,0.00656,0.4711,0.22541,0.23654,0.11725,1.49649,5.50258,0.00626,9.06334e-05,9.06334e-05,9.06334e-05
71,87679,2.08651,2.61631,0.00573,0.50054,0.22981,0.23729,0.12326,1.52203,5.46747,0.00638,8.7802e-05,8.7802e-05,8.7802e-05
72,87842.2,2.09646,2.72631,0.00639,0.47853,0.23118,0.24677,0.12848,1.50638,5.43097,0.00631,8.49706e-05,8.49706e-05,8.49706e-05
73,88008,2.06649,2.54531,0.00572,0.46389,0.19549,0.23982,0.12614,1.49868,5.42318,0.00624,8.21392e-05,8.21392e-05,8.21392e-05
74,88170.4,2.05984,2.57173,0.00579,0.51293,0.19138,0.23849,0.12494,1.50751,5.37634,0.00625,7.93078e-05,7.93078e-05,7.93078e-05
